videoID,category,views,length
144EZ1VRNJg,Film & Animation,539803,601
k0Qpc4UzP9g,Film & Animation,527623,484
Zskcr97mhPE,Film & Animation,524848,1384
_je3hL4ozgU,Film & Animation,523243,655
cYhhfHYZa5s,Film & Animation,520981,296
Kp351bRQM54,Film & Animation,517288,299
XM4E8aW2arQ,Film & Animation,515635,91
a8YXZTlwTAU,Film & Animation,513943,317
YPIqcivB1l8,Film & Animation,506195,273
Z4rsgXlt-dk,Film & Animation,505879,204
GtMnUYl4ib0,Film & Animation,503431,598
n3FdlxMiZHM,Film & Animation,503341,547
kqTHxicmDwM,Film & Animation,503036,107
P4wI_o8gyxA,Film & Animation,502488,148
SC7QBo2a4hQ,Film & Animation,502308,387
pFlcqWQVVuU,Gadgets & Games,3651600,66
bcu8ZdJ2dQo,Gadgets & Games,2617568,76
-G7h626wJwM,Gadgets & Games,2565170,288
oMaTZFCLbq0,Gadgets & Games,2554620,588
GxSdKF5Fd38,Gadgets & Games,2468395,341
z1lj87UyvfY,Gadgets & Games,2373875,210
KhCmfX_PQ7E,Gadgets & Games,1967929,88
2SVMFCZgvNM,Gadgets & Games,1813794,96
gPutYwiiE0o,Gadgets & Games,1633482,614
7wt5FiZQrgM,Gadgets & Games,1399531,62
vqO7zEWu0W0,Gadgets & Games,1334429,210
fpoGKw6L4cM,Gadgets & Games,1265280,117
Hfmx4sZNhXU,Gadgets & Games,1183046,295
-dHtv9DA94g,Gadgets & Games,1174238,787
3zQSWOTS3Gw,Gadgets & Games,1141202,202
GD9DSa3fZf4,Gadgets & Games,1122531,83
LeBO8y5nRYU,Gadgets & Games,1117320,104
RkdihGX7iWM,Gadgets & Games,1105090,73
fWL6j0SvqV0,Gadgets & Games,1014323,145
V-DnK-d_sp0,Gadgets & Games,974888,134
fD7Ie6C2qB4,Gadgets & Games,954981,255
Vbm_-Gk4HZo,Gadgets & Games,888959,25
aLTfOe2SG9Y,Gadgets & Games,860957,140
CfSJt9LVAb0,Gadgets & Games,846864,205
